pattern,pattern_label,n,structure,trials,insert_mean_s,insert_std_s,search_hit_mean_s,search_hit_std_s,search_miss_mean_s,search_miss_std_s,height_mean,load_factor_mean,avg_non_empty_chain_len_mean,collisions_mean
Random,Random,100,BST,2,0.00017209999714395963,0.00012649999916902743,3.9599999581696466e-05,1.1999982234556228e-06,9.130000034929253e-05,6.0599999414989725e-05,12,,,
Random,Random,100,Red-Black Tree,2,8.615000115241855e-05,4.549998266156763e-06,3.409999771974981e-05,6.999980541877449e-07,3.2449999707750976e-05,1.500011421740055e-07,8,,,
Random,Random,100,Hash Table,2,1.3849996321368963e-05,2.749999111983925e-06,9.049999789567664e-06,1.2499986041802913e-06,8.099999831756577e-06,3.9999940781854093e-07,,0.7692,1.4185500000000002,29.5
Sorted,Sorted,100,BST,2,0.00015144999997573905,2.450000465614721e-06,0.00013499999840860255,2.999986463692039e-07,6.6499960666988045e-06,6.500013114418834e-07,100,,,
Sorted,Sorted,100,Red-Black Tree,2,0.00010019999899668619,3.5999983083456755e-06,3.130000186502002e-05,7.00001692166552e-07,3.099999958067201e-05,2.999986463692039e-07,11,,,
Sorted,Sorted,100,Hash Table,2,1.080000220099464e-05,8.999995770864189e-07,6.9499983510468155e-06,4.4999978854320943e-07,7.2500006353948265e-06,5.500005499925464e-07,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,BST,2,0.00011209999865968712,5.199999577598646e-06,0.0001409499964211136,5.00003807246685e-08,0.0002853500009223353,3.249999281251803e-06,100,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Red-Black Tree,2,0.00010125000335392542,9.150000551017001e-06,3.099999958067201e-05,2.999986463692039e-07,5.2600000344682485e-05,0.0,11,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",100,Hash Table,2,5.0400001782691106e-05,1.5200002962956205e-05,4.749999789055437e-05,1.679999695625156e-05,7.200000254670158e-06,1.1999982234556228e-06,,0.7692,100.0,99
Random,Random,1000,BST,2,0.00048285000229952857,1.184999564429745e-05,9.055000191438012e-05,4.195000292384066e-05,3.1550003768643364e-05,1.4500001270789653e-06,21.5,,,
Random,Random,1000,Red-Black Tree,2,0.0010534000030020252,0.00011610000365180895,5.240000245976262e-05,2.1999985619913787e-06,4.734999674838036e-05,9.499999578110874e-07,12,,,
Random,Random,1000,Hash Table,2,0.00011150000136694871,2.999986463692039e-07,9.2999980552122e-06,5.00003807246685e-07,8.650000381749123e-06,6.499976734630764e-07,,0.7692,1.393,282
Sorted,Sorted,1000,BST,2,0.014970399999583606,0.00010930000280495733,0.0013752000013482757,5.5500000598840415e-05,8.44999885885045e-06,5.00003807246685e-08,1000,,,
Sorted,Sorted,1000,Red-Black Tree,2,0.001297900002100505,6.939999730093405e-05,4.6099994506221265e-05,1.7999991541728377e-06,4.060000355821103e-05,1.400003384333104e-06,17,,,
Sorted,Sorted,1000,Hash Table,2,0.00010144999760086648,9.150000551017001e-06,7.950002327561378e-06,6.499976734630764e-07,6.7499968281481415e-06,5.500005499925464e-07,,0.7692,1.0,0
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,BST,2,0.010587000004306901,2.2000000171829015e-05,0.0014224999977159314,0.00010109999857377261,0.002722050001466414,6.424999810406007e-05,1000,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Red-Black Tree,2,0.0012143499989178963,6.184999801917002e-05,5.120000059832819e-05,3.2999996619764715e-06,7.43000018701423e-05,3.9999940781854093e-07,17,,,
Adversarial,"Adversarial (BST=reverse-sorted, HT=all-same-bucket)",1000,Hash Table,2,0.002404200000455603,7.539999933214858e-05,0.00020650000078603625,1.1199997970834374e-05,7.099999493220821e-06,7.00001692166552e-07,,0.7692,1000.0,999
